Temperature,Humidity,Wind Speed,Precipitation (%),Weather Type,Atmospheric Pressure,UV Index,Season,Visibility (km),Cloud Cover
35,21,10,6,Sunny,1026.81,5,Autumn,7.5,clear
11,90,25.5,76,Rainy,996.17,0,Winter,1,partly cloudy
2,105,19,109,Snowy,991.68,7,Winter,3.5,overcast
-9,49,1.5,58,Snowy,1132.2,8,Spring,16.5,partly cloudy
27,64,11.5,37,Cloudy,1017.27,3,Autumn,8,partly cloudy
32,37,0.5,9,Sunny,1013.99,11,Winter,8.5,partly cloudy
36,22,1,0,Sunny,1028.63,10,Summer,5.5,clear
28,54,15,39,Cloudy,1018.86,3,Winter,8.5,partly cloudy
42,64,2,18,Sunny,1028.55,8,Autumn,8,partly cloudy
21,43,10,11,Sunny,1019.41,11,Spring,6,clear
22,50,0,18,Sunny,1016.5,5,Summer,8,clear
33,66,9,18,Cloudy,1014.34,3,Autumn,6,partly cloudy
26,25,2.5,14,Sunny,1010.34,8,Winter,5,partly cloudy
26,91,9.5,82,Rainy,1019.42,3,Summer,4,overcast
-2,98,18.5,86,Snowy,981.26,0,Winter,3.5,overcast
17,90,11,98,Rainy,1017.49,3,Winter,4,overcast
25,55,8.5,37,Cloudy,1014.49,4,Summer,7.5,partly cloudy
-4,96,20,88,Snowy,990.72,1,Winter,4.5,partly cloudy
-1,87,14,78,Snowy,984.11,0,Winter,4,overcast
-5,94,5.5,55,Snowy,991.65,0,Winter,3,overcast
22,95,13,90,Rainy,997.97,3,Autumn,2.5,overcast
41,85,9,101,Cloudy,1017.89,3,Summer,7.5,overcast
33,41,0,4,Sunny,1018.56,7,Winter,9.5,clear
31,70,0.5,69,Sunny,1074.07,3,Spring,12.5,overcast
16,84,18.5,54,Rainy,996.12,0,Spring,3,overcast
10,64,14,18,Cloudy,1011.96,1,Spring,8.5,overcast
29,63,6,68,Rainy,992.45,0,Winter,3,overcast
15,55,1.5,32,Cloudy,1009.01,2,Autumn,5.5,partly cloudy
3,75,46.5,87,Snowy,996.85,5,Winter,4.5,overcast
24,52,9,29,Cloudy,1007.84,1,Autumn,8,partly cloudy
25,85,9,67,Rainy,995.4,1,Winter,2,overcast
25,89,1.5,87,Sunny,1017.16,11,Summer,6.5,partly cloudy
24,47,8,17,Sunny,1025.22,5,Summer,6,clear
2,97,2,89,Snowy,993.14,0,Winter,3,partly cloudy
21,54,3,17,Sunny,1026.15,7,Summer,8,clear
2,81,13.5,57,Snowy,983.36,1,Winter,4,overcast
21,75,3.5,41,Cloudy,1017.74,2,Winter,8,partly cloudy
11,52,6,97,Snowy,1063.39,7,Summer,12.5,overcast
31,62,6.5,84,Rainy,1013.61,0,Spring,4.5,overcast
33,31,6.5,18,Sunny,1022.53,7,Summer,8.5,clear
34,47,5,4,Sunny,1027.53,9,Spring,10,clear
21,66,13.5,29,Cloudy,1018.98,3,Autumn,8.5,partly cloudy
28,68,18,90,Rainy,992.83,3,Winter,5,overcast
33,62,10,83,Rainy,1009.48,1,Summer,3.5,partly cloudy
25,96,6,90,Rainy,1006.67,0,Autumn,4.5,overcast
27,73,9.5,47,Cloudy,1017.82,1,Summer,7,partly cloudy
49,75,11.5,82,Sunny,1029.09,10,Summer,7,partly cloudy
-5,73,12,63,Snowy,983.83,1,Winter,4.5,partly cloudy
31,62,5.5,99,Rainy,1019.92,0,Summer,4.5,overcast
2,91,6.5,92,Snowy,999.46,0,Winter,2.5,overcast
32,35,2.5,63,Sunny,1160.48,2,Winter,0,partly cloudy
-7,78,10,96,Snowy,999.99,7,Winter,1,overcast
27,43,1,8,Sunny,1022.48,9,Summer,9,clear
12,56,9.5,19,Cloudy,1014.4,4,Winter,6.5,partly cloudy
-7,93,9,60,Snowy,995.63,1,Winter,4,overcast
15,81,28.5,71,Cloudy,1008,4,Winter,6,partly cloudy
30,64,6,67,Rainy,1009.12,3,Summer,4,partly cloudy
19,93,14.5,57,Rainy,1018.44,0,Winter,4,overcast
14,44,9,11,Rainy,853.01,14,Winter,3.5,partly cloudy
32,38,11,15,Snowy,824.71,9,Autumn,12.5,partly cloudy
17,88,18,83,Sunny,1026.94,0,Spring,5.5,partly cloudy
23,88,11.5,65,Rainy,1000.74,1,Winter,5,overcast
28,35,9.5,0,Sunny,1023.62,9,Winter,10,partly cloudy
-4,87,5,54,Snowy,981.02,1,Winter,4.5,overcast
31,72,17,96,Cloudy,1013.85,13,Winter,3.5,partly cloudy
40,66,8,5,Sunny,1019.82,5,Autumn,5.5,clear
20,24,3,6,Sunny,1013.68,9,Winter,6.5,clear
-7,61,2.5,99,Snowy,994.34,1,Winter,2.5,overcast
-3,82,0,65,Snowy,991.66,0,Winter,1.5,overcast
22,65,6,14,Sunny,1010.17,8,Autumn,7,partly cloudy
33,79,4.5,43,Cloudy,1007.94,1,Spring,7,overcast
29,47,8.5,2,Sunny,1027.33,11,Summer,5.5,clear
13,80,15.5,59,Rainy,1012.06,0,Autumn,3.5,overcast
27,39,5,16,Sunny,1021.61,5,Autumn,5,clear
38,75,0.5,79,Rainy,1057.69,0,Summer,10,overcast
20,48,9.5,6,Sunny,1015.16,6,Autumn,8.5,clear
19,82,7,85,Rainy,1008.5,1,Summer,3.5,partly cloudy
18,70,5,94,Rainy,1012.87,2,Spring,3.5,overcast
18,60,12.5,42,Rainy,822.66,2,Summer,17.5,overcast
2,80,13.5,79,Snowy,995.74,1,Winter,1.5,overcast
1,81,9.5,63,Snowy,983.99,1,Winter,3.5,overcast
22,69,1,19,Cloudy,1011.5,2,Autumn,6,partly cloudy
-10,70,2.5,56,Snowy,989.29,1,Winter,4,overcast
32,61,5.5,53,Rainy,995.09,2,Summer,4,overcast
41,29,8,17,Sunny,1011.53,11,Spring,10,clear
-1,99,2.5,72,Snowy,998.51,0,Winter,2,overcast
31,65,1.5,18,Cloudy,1008.47,2,Summer,9,overcast
19,62,1,14,Cloudy,1016.5,2,Autumn,5.5,partly cloudy
-3,92,28,99,Snowy,987.7,1,Winter,4.5,partly cloudy
-1,83,18,73,Snowy,983.46,0,Winter,1.5,overcast
3,70,2,81,Snowy,984.9,1,Winter,2,overcast
0,64,4.5,52,Snowy,984.59,1,Winter,1,overcast
26,76,9,68,Rainy,1004.27,3,Spring,3.5,overcast
22,92,19.5,81,Rainy,1017.76,0,Winter,4.5,overcast
20,96,14,94,Rainy,997.77,0,Summer,4.5,overcast
23,52,1,36,Cloudy,1017.92,1,Spring,8.5,partly cloudy
3,81,2.5,89,Snowy,992.78,1,Winter,2,overcast
20,95,16,91,Rainy,1016.14,0,Summer,2.5,overcast
-2,91,2.5,83,Snowy,982.21,1,Winter,4,overcast
29,77,0.5,91,Sunny,934.49,14,Autumn,17,cloudy
2,77,6.5,75,Snowy,998,0,Winter,3,partly cloudy
16,67,6.5,45,Cloudy,1008.69,2,Summer,5.5,partly cloudy
46,94,4,90,Sunny,1022.88,10,Spring,12.5,clear
-2,92,1,71,Snowy,998.01,1,Winter,1.5,overcast
20,50,6.5,21,Cloudy,1013.93,4,Autumn,6,partly cloudy
0,64,10.5,78,Snowy,994.62,0,Winter,3,overcast
22,48,6,15,Sunny,1020,5,Spring,9.5,clear
29,50,5.5,13,Cloudy,1002.04,4,Autumn,8,overcast
4,77,13,76,Snowy,983.25,1,Winter,2.5,overcast
40,39,9.5,15,Sunny,1029.84,8,Autumn,8,clear
-3,60,8,94,Snowy,981.56,1,Winter,3,overcast
33,25,4,3,Sunny,1027.6,11,Spring,6.5,partly cloudy
31,87,11,54,Rainy,995.87,0,Spring,3.5,partly cloudy
41,72,2.5,26,Rainy,973.08,6,Spring,8.5,cloudy
33,77,1,22,Cloudy,1018.78,4,Winter,8.5,partly cloudy
-5,68,0.5,96,Snowy,992.19,1,Winter,1.5,overcast
-9,90,1.5,97,Snowy,999.08,1,Winter,4.5,overcast
1,89,7.5,76,Snowy,982.22,1,Winter,4.5,partly cloudy
13,62,14,13,Cloudy,1003.74,1,Autumn,9,overcast
13,75,9.5,40,Cloudy,1005.39,2,Autumn,8,overcast
15,105,7.5,75,Cloudy,1006.45,10,Summer,4,overcast
31,86,13.5,78,Rainy,999.25,3,Winter,4,overcast
26,60,11.5,50,Rainy,995.67,3,Summer,3.5,partly cloudy
44,25,1,6,Sunny,1016.02,10,Summer,5.5,partly cloudy
28,93,12.5,50,Rainy,997.24,0,Summer,5,partly cloudy
18,88,15.5,88,Rainy,997.61,1,Winter,3.5,overcast
30,77,12,51,Rainy,1007.88,0,Spring,3.5,partly cloudy
24,50,3.5,10,Cloudy,1017.18,4,Summer,6.5,overcast
36,32,6,2,Sunny,1026.15,7,Spring,7.5,clear
3,75,10.5,73,Snowy,980.47,1,Winter,3,overcast
35,49,9,14,Sunny,1010.52,10,Autumn,7,clear
26,43,7,18,Sunny,1024.37,5,Summer,6,partly cloudy
16,59,11.5,37,Cloudy,1004.12,4,Summer,6.5,partly cloudy
38,73,2.5,79,Rainy,1034.1,3,Autumn,13,overcast
34,51,9,40,Cloudy,1009.21,4,Spring,6,overcast
33,88,19,98,Rainy,998.8,2,Autumn,3,overcast
17,72,20,56,Rainy,990.4,0,Summer,4,overcast
30,58,1,43,Cloudy,1018.95,2,Winter,6,overcast
17,69,2,35,Cloudy,1009.83,1,Spring,8.5,overcast
-5,94,9,63,Snowy,989.82,0,Winter,5,overcast
17,64,19.5,95,Rainy,1016.54,2,Spring,5,overcast
-13,60,9.5,18,Cloudy,931.79,7,Winter,5.5,partly cloudy
34,88,19.5,73,Rainy,1018.01,1,Spring,4,overcast
41,90,21.5,103,Rainy,1002.15,13,Winter,4,overcast
13,77,5,68,Cloudy,1021.09,3,Autumn,8.5,cloudy
23,35,3.5,12,Sunny,1028.43,7,Spring,8,clear
16,96,19,57,Rainy,1003.05,0,Spring,4.5,overcast
-7,70,8.5,62,Snowy,993.19,1,Winter,2,overcast
3,90,9.5,87,Snowy,997.83,0,Winter,2.5,overcast
39,54,0,3,Sunny,1024.65,8,Autumn,9.5,clear
21,64,19,96,Rainy,1006.43,0,Winter,4.5,partly cloudy
38,69,6.5,19,Sunny,1011.2,5,Spring,8,clear
-6,81,19.5,66,Snowy,995.18,0,Winter,1.5,overcast
10,80,16.5,99,Rainy,1005.34,3,Spring,3.5,overcast
23,73,14.5,32,Cloudy,1002.91,4,Autumn,7.5,partly cloudy
38,21,0,14,Snowy,960.81,2,Autumn,6,cloudy
15,97,12.5,62,Rainy,1013.38,2,Winter,3,overcast
20,55,2,7,Sunny,1029.67,9,Spring,9,clear
26,82,18,54,Rainy,998.36,1,Autumn,3,partly cloudy
23,60,19.5,62,Rainy,1014.54,2,Winter,4.5,partly cloudy
26,68,4,39,Cloudy,1016.39,4,Summer,5.5,partly cloudy
10,99,16,58,Rainy,995.85,2,Autumn,1.5,overcast
20,42,4,13,Sunny,1028.3,5,Autumn,8,partly cloudy
-2,32,1.5,17,Rainy,930.32,1,Winter,11,overcast
-1,94,13,74,Snowy,981.13,0,Winter,4,overcast
28,65,13.5,48,Cloudy,1013.19,4,Summer,5.5,partly cloudy
-10,94,7.5,98,Snowy,989.37,1,Winter,4,partly cloudy
41,57,4,19,Sunny,1025.59,10,Spring,6.5,clear
34,78,14.5,13,Cloudy,1014.07,1,Summer,6,overcast
33,30,9.5,7,Sunny,1019.11,11,Spring,5,partly cloudy
28,56,8.5,12,Cloudy,1013.53,1,Winter,7.5,partly cloudy
49,64,4,61,Cloudy,1130.72,14,Winter,0,cloudy
28,77,4.5,68,Snowy,1175.6,14,Autumn,0,partly cloudy
34,99,34,74,Rainy,1016.03,9,Autumn,1,partly cloudy
-7,97,4.5,73,Snowy,987.68,0,Winter,2,overcast
78,81,8,78,Cloudy,1010.19,1,Autumn,4.5,overcast
25,24,9.5,91,Snowy,834.02,13,Winter,3.5,overcast
31,100,15,90,Sunny,1019.98,8,Summer,5,clear
19,97,9,56,Rainy,1015.74,3,Spring,2,overcast
34,97,17.5,76,Rainy,1016.2,1,Summer,2.5,overcast
10,80,17,69,Rainy,1012.7,3,Summer,1.5,overcast
28,76,0.5,16,Cloudy,1018.62,4,Summer,7.5,partly cloudy
18,74,0.5,39,Cloudy,1007.53,1,Autumn,8.5,overcast
32,63,3,46,Cloudy,1006.96,1,Summer,8.5,partly cloudy
-7,82,7.5,57,Snowy,985.06,0,Winter,2.5,overcast
22,61,8.5,13,Cloudy,1009.6,2,Spring,6.5,partly cloudy
63,86,13,75,Sunny,1027.31,14,Summer,2.5,clear
23,78,15,60,Rainy,991.36,2,Autumn,4,overcast
27,83,16,53,Rainy,1003.68,1,Summer,2.5,overcast
-9,67,13,92,Snowy,981.36,0,Winter,2,overcast
-10,92,17,96,Snowy,982.06,1,Winter,4.5,overcast
10,68,8,99,Rainy,1014.01,3,Spring,1.5,overcast
35,33,7,5,Sunny,1025.51,5,Winter,7.5,partly cloudy
73,82,47,107,Rainy,1002.73,0,Winter,0.5,overcast
22,89,12,85,Cloudy,1017.54,11,Winter,2,partly cloudy
2,86,11.5,64,Snowy,999.36,1,Winter,2.5,partly cloudy
30,71,12,92,Rainy,992.51,2,Spring,3,partly cloudy
30,55,5,31,Cloudy,1004.15,2,Autumn,6.5,partly cloudy
14,68,11.5,11,Cloudy,1012.85,2,Winter,6.5,overcast
19,91,18.5,97,Rainy,1011.14,0,Autumn,4,overcast
34,71,4,35,Cloudy,1001.54,3,Summer,6.5,overcast
27,79,14,29,Cloudy,1008.79,1,Summer,7.5,partly cloudy
8,78,34.5,106,Snowy,982.66,11,Winter,3.5,partly cloudy
-3,76,10,85,Snowy,986.77,0,Winter,3.5,overcast
29,107,0.5,93,Cloudy,1002.18,8,Spring,10,partly cloudy
27,54,7,11,Cloudy,1015.78,2,Summer,6,partly cloudy
22,95,35.5,87,Rainy,998.45,11,Winter,4,overcast
24,27,2,12,Sunny,1015.66,7,Spring,6,partly cloudy
33,69,8,5,Sunny,1026.28,9,Autumn,9.5,clear
28,47,11.5,24,Sunny,1105.69,9,Autumn,1.5,partly cloudy
32,59,0.5,18,Cloudy,1016.89,2,Spring,7,partly cloudy
-10,72,2.5,96,Snowy,988.45,0,Winter,2,overcast
28,108,7.5,83,Sunny,1018.84,1,Summer,4,partly cloudy
27,26,9,14,Sunny,1018.24,5,Winter,7,partly cloudy
-9,71,9.5,83,Snowy,996.4,1,Winter,3.5,overcast
28,86,9.5,52,Rainy,1005.41,3,Autumn,3,overcast
-4,64,1,85,Snowy,993.69,1,Winter,1.5,overcast
25,51,5,18,Sunny,1019.65,7,Autumn,7,clear
12,92,20,51,Rainy,1010.65,3,Spring,2,overcast
-12,22,6.5,71,Snowy,1097.74,1,Spring,9,partly cloudy
14,65,6.5,26,Cloudy,1019.03,1,Autumn,6.5,partly cloudy
2,71,11,66,Snowy,984.83,0,Winter,3,overcast
43,24,7,1,Sunny,1020.87,9,Summer,7,clear
-10,84,5,75,Snowy,990.82,0,Winter,4.5,overcast
1,52,13.5,18,Cloudy,829.86,14,Spring,6.5,overcast
25,86,11,75,Rainy,1006.57,0,Autumn,4,overcast
30,96,4.5,97,Cloudy,1001.66,1,Summer,5.5,partly cloudy
44,94,9,109,Sunny,1024.46,2,Spring,6.5,clear
12,89,17.5,75,Rainy,997.65,2,Autumn,2,overcast
20,48,3,10,Sunny,1019.81,10,Autumn,9.5,clear
32,71,19,92,Rainy,1003.24,3,Summer,2.5,overcast
13,79,11,63,Rainy,990.71,2,Spring,4.5,overcast
-24,84,23.5,80,Snowy,984.68,0,Winter,1.5,overcast
22,46,5,1,Sunny,1014.95,11,Summer,7,clear
25,57,3.5,0,Sunny,1016.85,10,Summer,8.5,partly cloudy
-4,69,14.5,56,Snowy,994.53,1,Winter,3,overcast
-10,72,4.5,72,Rainy,1193.57,11,Summer,13,overcast
0,73,4,90,Snowy,993.09,1,Winter,3,partly cloudy
41,33,3.5,5,Sunny,1021.88,6,Spring,8,partly cloudy
35,50,7,3,Sunny,1011.22,7,Autumn,7.5,clear
14,95,42.5,106,Rainy,997.34,6,Summer,4,partly cloudy
23,63,5,2,Sunny,1028.61,9,Winter,9,clear
34,31,9.5,9,Sunny,1024.74,10,Spring,5.5,clear
28,97,12,99,Rainy,1014.95,2,Winter,2.5,partly cloudy
33,63,8.5,93,Rainy,990.33,2,Summer,3,overcast
-2,52,13.5,88,Sunny,841.43,2,Summer,1.5,cloudy
12,88,9.5,76,Rainy,990.58,1,Spring,5,partly cloudy
11,66,13.5,39,Cloudy,1005.33,2,Summer,7.5,partly cloudy
19,72,11,25,Cloudy,1009.68,4,Spring,7.5,overcast
18,87,18,58,Rainy,1001.57,1,Summer,1.5,overcast
15,98,6,84,Rainy,1014.45,2,Autumn,3.5,partly cloudy
13,76,0,12,Cloudy,1006.38,3,Spring,5.5,partly cloudy
34,24,4,13,Sunny,1020.55,11,Summer,8,clear
-7,89,1,63,Snowy,993.79,1,Winter,4,overcast
-8,98,14.5,94,Snowy,989.03,0,Winter,4,overcast
1,70,16.5,59,Snowy,990.8,1,Winter,1.5,overcast
21,72,19,57,Rainy,990.71,2,Winter,2,overcast
2,105,10.5,109,Snowy,990.79,0,Winter,3,overcast
21,46,7.5,18,Sunny,1012.01,7,Summer,6,clear
-2,72,9.5,98,Snowy,991.7,1,Winter,1.5,overcast
31,95,19,51,Rainy,1013.15,3,Spring,2.5,overcast
24,77,13.5,89,Rainy,1019.08,2,Summer,4,partly cloudy
26,68,15,53,Rainy,1014.58,3,Winter,2.5,partly cloudy
60,86,12,86,Cloudy,1003.36,9,Autumn,2,overcast
22,72,11,23,Cloudy,1015.73,2,Winter,5.5,overcast
48,79,12,88,Snowy,1140.24,4,Autumn,17,partly cloudy
32,58,6.5,4,Sunny,1023.83,6,Summer,9,clear
-10,63,17.5,70,Snowy,993.68,0,Winter,3.5,partly cloudy
26,67,10,27,Cloudy,1002.53,4,Summer,6.5,partly cloudy
35,58,3,19,Sunny,1015.4,5,Winter,5,clear
11,76,6,71,Rainy,974.29,7,Summer,9,partly cloudy
26,27,5.5,14,Sunny,1027.6,7,Spring,7.5,partly cloudy
43,50,8,16,Sunny,1017.68,5,Summer,5.5,partly cloudy
33,58,8,41,Cloudy,1017,2,Winter,8,overcast
5,71,9.5,93,Snowy,985.82,6,Winter,6,overcast
23,62,10,20,Cloudy,1003.85,3,Winter,9,overcast
-6,94,2.5,93,Snowy,989.21,1,Winter,1.5,overcast
8,87,10,104,Snowy,998.66,1,Winter,0.5,overcast
-6,106,33,82,Snowy,995.73,1,Winter,1.5,overcast
31,62,6,21,Cloudy,1015.8,1,Autumn,5.5,partly cloudy
32,27,8,18,Sunny,1010.28,8,Spring,5.5,partly cloudy
51,85,13.5,77,Sunny,1025.39,12,Autumn,5,clear
20,86,14,64,Rainy,1000.52,1,Autumn,2,overcast
22,58,13.5,20,Cloudy,1003.77,3,Winter,7.5,overcast
15,74,19,81,Rainy,1017.45,1,Summer,1.5,partly cloudy
11,82,14.5,96,Cloudy,1014.44,8,Autumn,7,overcast
19,79,11,53,Rainy,1016.38,2,Spring,4,overcast
-14,48,5,74,Rainy,1022.96,8,Spring,5.5,partly cloudy
14,80,13,78,Sunny,1011.38,4,Autumn,1.5,clear
27,73,12.5,26,Cloudy,1008.72,4,Winter,6,partly cloudy
21,25,1,14,Sunny,1016.38,5,Autumn,7,clear
-4,89,15.5,75,Snowy,994.04,1,Winter,2.5,partly cloudy
2,70,17,96,Snowy,992.06,0,Winter,4.5,partly cloudy
-3,98,0.5,60,Snowy,991.41,0,Winter,2,partly cloudy
42,28,8,1,Sunny,1019.49,9,Spring,6.5,partly cloudy
18,91,18,91,Rainy,1000.55,1,Autumn,2.5,partly cloudy
10,88,18.5,92,Rainy,998.65,6,Winter,1.5,overcast
50,72,31.5,86,Rainy,1001.25,6,Winter,1,partly cloudy
29,63,11.5,52,Rainy,1017.35,2,Summer,2,overcast
37,62,6,6,Sunny,1021.37,11,Summer,7,clear
16,87,14,50,Rainy,1001.96,0,Summer,4.5,overcast
28,52,13.5,30,Cloudy,1011.14,3,Spring,5,partly cloudy
16,78,15,55,Rainy,1012.87,0,Summer,1,overcast
11,50,14,15,Cloudy,1003.19,4,Summer,5.5,overcast
18,61,5,19,Cloudy,1011.7,2,Spring,6.5,partly cloudy
1,65,8,62,Snowy,996.55,0,Winter,5,overcast
12,70,2.5,43,Cloudy,1016.35,2,Autumn,6.5,partly cloudy
12,22,1,66,Cloudy,858.36,13,Winter,3,partly cloudy
12,97,5.5,86,Rainy,1005.53,3,Winter,3,overcast
3,73,10.5,65,Snowy,993.69,1,Winter,2.5,partly cloudy
-7,79,13,86,Snowy,989.76,0,Winter,1.5,overcast
21,28,7.5,14,Sunny,1015.26,10,Summer,5.5,clear
39,74,9,87,Cloudy,1000.45,7,Winter,8,overcast
26,75,17,61,Rainy,1002.64,0,Summer,1,overcast
0,82,17,50,Snowy,988.71,1,Winter,4.5,overcast
27,69,3,33,Cloudy,1018.37,4,Spring,6.5,overcast
22,21,4.5,19,Sunny,1026.59,5,Summer,5,clear
13,75,0.5,33,Cloudy,1006.64,1,Spring,8,overcast
25,74,0,33,Cloudy,1011.2,1,Summer,8,partly cloudy
30,81,17,51,Rainy,995.93,0,Autumn,1,overcast
15,73,23,86,Rainy,990.25,2,Spring,1,partly cloudy
23,28,5,0,Sunny,1016.71,11,Winter,10,partly cloudy
37,62,3,18,Sunny,1022.64,10,Winter,9,clear
-8,95,23.5,107,Snowy,985.07,5,Winter,3.5,overcast
5,36,14.5,68,Rainy,1195.34,1,Autumn,16,cloudy
21,97,19.5,74,Rainy,996.4,3,Spring,3.5,overcast
17,51,10.5,21,Cloudy,1006.16,2,Summer,8,overcast
22,71,9.5,55,Rainy,1018.77,1,Summer,3.5,overcast
36,66,2,13,Sunny,1010.25,6,Summer,6.5,clear
25,65,7,0,Sunny,1014.06,10,Winter,5,clear
27,55,4.5,35,Cloudy,1013.66,1,Spring,5.5,partly cloudy
54,106,26,83,Rainy,992.65,1,Winter,0.5,overcast
28,51,6.5,8,Sunny,1011.58,10,Autumn,8.5,partly cloudy
34,69,7.5,32,Cloudy,1019.04,2,Spring,8.5,overcast
2,86,1.5,76,Snowy,990.66,1,Winter,2.5,overcast
16,58,7.5,38,Cloudy,1001.5,1,Winter,7.5,partly cloudy
-7,85,2,99,Snowy,993.79,0,Winter,2.5,partly cloudy
-3,81,6,87,Snowy,985.5,0,Winter,4.5,overcast
42,39,7.5,17,Sunny,1029.23,5,Spring,9.5,partly cloudy
-5,69,17,76,Snowy,981.49,1,Winter,3.5,overcast
12,69,17.5,73,Rainy,990.32,2,Autumn,2,overcast
10,58,8.5,40,Snowy,1101.7,5,Winter,18,cloudy
10,98,14,97,Rainy,1007.79,1,Spring,4.5,overcast
23,28,6.5,7,Sunny,1022.75,5,Summer,8.5,clear
37,109,22,94,Rainy,1019.37,0,Autumn,1.5,overcast
24,79,12,12,Cloudy,1013.39,3,Spring,6,partly cloudy
36,96,36.5,91,Rainy,996.7,10,Winter,3,partly cloudy
44,29,1,12,Sunny,1012.63,10,Autumn,6,clear
47,108,8,94,Cloudy,1003.87,3,Summer,10.5,overcast
70,71,6.5,89,Sunny,1028.88,6,Autumn,5,clear
30,72,5.5,97,Rainy,1011.47,0,Spring,4,overcast
10,94,13.5,62,Rainy,1005.18,1,Autumn,5,overcast
28,59,9,37,Cloudy,1004.99,2,Spring,6,overcast
39,24,5.5,9,Sunny,1025.3,9,Winter,7,partly cloudy
16,101,34.5,72,Rainy,993.43,14,Summer,5,overcast
18,94,2.5,109,Cloudy,1018.62,11,Summer,6,partly cloudy
23,25,10,15,Sunny,1016.92,7,Spring,8.5,clear
29,34,0.5,17,Sunny,1017.92,10,Spring,6,clear
34,50,7.5,41,Cloudy,1012.99,2,Winter,7,partly cloudy
29,61,14,33,Cloudy,1004.54,3,Autumn,5.5,overcast
9,108,27.5,103,Cloudy,1019.52,10,Spring,3,partly cloudy
-6,103,8,88,Snowy,995.28,5,Winter,1.5,partly cloudy
12,74,16,78,Rainy,994.11,2,Winter,2,overcast
66,83,20.5,109,Cloudy,1005.29,10,Summer,6.5,partly cloudy
33,34,10,2,Sunny,1020.04,8,Summer,9.5,partly cloudy
-8,85,9,91,Snowy,987.23,1,Winter,2,partly cloudy
29,95,15,56,Rainy,1005.12,2,Autumn,3,overcast
37,50,2.5,9,Sunny,1016.98,5,Spring,7,clear
-2,63,7.5,94,Snowy,980.74,0,Winter,1.5,overcast
-16,48,9,76,Cloudy,1157.85,8,Spring,2.5,cloudy
21,68,3,30,Cloudy,1019.34,1,Autumn,8,partly cloudy
36,21,4.5,19,Sunny,1020.62,6,Winter,6.5,clear
20,51,3.5,34,Cloudy,1001.09,4,Autumn,7,partly cloudy
21,76,7,57,Rainy,1014.41,3,Autumn,1.5,overcast
12,62,5.5,79,Rainy,1012.12,4,Winter,5.5,partly cloudy
12,77,4,45,Cloudy,1008.41,4,Spring,8.5,partly cloudy
10,57,8.5,36,Cloudy,1011.7,4,Summer,8,partly cloudy
34,31,5,6,Sunny,1013.68,7,Spring,7,clear
31,96,14.5,92,Cloudy,1000.22,12,Summer,10,overcast
13,97,8.5,96,Rainy,1017.24,3,Autumn,3.5,overcast
32,96,6.5,55,Rainy,1002.53,2,Summer,2.5,overcast
-15,71,14.5,41,Sunny,864.56,13,Winter,11.5,partly cloudy
36,81,7.5,104,Cloudy,1004.2,8,Autumn,6,overcast
